Course_ID,Learners_Enrolled,Exam_Registration
noc26_ae21,619,13
noc26_ae22,223,2
noc26_ae23,774,101
noc26_ae24,716,34
noc26_ae25,332,6
noc26_ae26,822,19
noc26_ae27,4135,179
noc26_ae28,2186,54
noc26_ae29,981,46
noc26_ae30,721,29
noc26_ae31,804,35
noc26_ae32,332,25
noc26_ae33,569,16
noc26_ae34,487,9
noc26_ae35,646,15
noc26_ae36,355,21
noc26_ae37,173,1
noc26_ae38,432,14
noc26_ae39,627,11
noc26_ae40,752,95
noc26_ae41,508,14
noc26_ae42,500,12
noc26_ag17,441,10
noc26_ag18,1288,140
noc26_ag19,1247,89
noc26_ag20,3158,346
noc26_ag21,6280,1002
noc26_ag22,880,30
noc26_ag23,5469,824
noc26_ag24,1690,226
noc26_ag25,1314,77
noc26_ag26,390,10
noc26_ag27,1342,98
noc26_ag28,3752,207
noc26_ar18,1033,54
noc26_ar19,889,36
noc26_ar20,553,19
noc26_ar21,569,44
noc26_ar22,453,45
noc26_ar23,295,13
noc26_ar24,1219,92
noc26_ar25,702,26
noc26_ar26,386,17
noc26_ar27,655,31
noc26_ar28,827,93
noc26_ar29,214,7
noc26_ar30,1074,59
noc26_ar31,766,28
noc26_ar32,336,24
noc26_ar33,2578,133
noc26_ar34,856,51
noc26_ar35,629,21
noc26_ar36,598,49
noc26_ar37,537,35
noc26_ar38,421,30
noc26_ar39,423,9
noc26_ar40,411,11
noc26_bt100,778,21
noc26_bt101,2471,115
noc26_bt102,2568,164
noc26_bt51,762,21
noc26_bt52,1332,48
noc26_bt53,182,7
noc26_bt54,189,0
noc26_bt56,3341,335
noc26_bt57,664,25
noc26_bt58,1060,37
noc26_bt59,1469,848
noc26_bt60,576,21
noc26_bt61,2175,127
noc26_bt62,280,18
noc26_bt63,252,4
noc26_bt65,849,114
noc26_bt66,1139,36
noc26_bt67,658,51
noc26_bt68,911,44
noc26_bt69,310,4
noc26_bt70,1888,133
noc26_bt71,972,39
noc26_bt72,633,15
noc26_bt73,1246,60
noc26_bt74,733,20
noc26_bt76,113,2
noc26_bt77,468,12
noc26_bt78,3147,198
noc26_bt79,4567,206
noc26_bt80,1671,31
noc26_bt81,1230,100
noc26_bt82,1099,31
noc26_bt83,586,45
noc26_bt84,1752,100
noc26_bt85,2329,211
noc26_bt86,1963,85
noc26_bt87,981,34
noc26_bt88,2596,303
noc26_bt89,2421,178
noc26_bt90,439,15
noc26_bt91,3885,131
noc26_bt92,1248,83
noc26_bt93,1628,70
noc26_bt94,2200,106
noc26_bt95,810,36
noc26_bt96,178,8
noc26_bt97,2362,63
noc26_bt98,1186,18
noc26_bt99,2112,43
noc26_ce100,3042,348
noc26_ce101,345,14
noc26_ce102,356,9
noc26_ce103,300,9
noc26_ce104,180,17
noc26_ce105,349,41
noc26_ce106,521,13
noc26_ce107,1277,72
noc26_ce108,338,6
noc26_ce109,832,36
noc26_ce110,772,62
noc26_ce111,134,4
noc26_ce112,583,21
noc26_ce113,313,12
noc26_ce114,99,1
noc26_ce115,1175,31
noc26_ce116,500,13
noc26_ce117,148,4
noc26_ce118,298,15
noc26_ce119,96,3
noc26_ce120,319,11
noc26_ce121,1307,65
noc26_ce122,1852,150
noc26_ce123,956,56
noc26_ce124,2427,157
noc26_ce125,602,16
noc26_ce126,3038,161
noc26_ce127,87,0
noc26_ce128,435,32
noc26_ce129,154,22
noc26_ce130,226,3
noc26_ce131,161,2
noc26_ce132,1291,82
noc26_ce133,154,3
noc26_ce134,248,11
noc26_ce135,309,8
noc26_ce136,1300,45
noc26_ce137,435,23
noc26_ce138,263,21
noc26_ce139,1796,49
noc26_ce140,4243,219
noc26_ce141,145,4
noc26_ce142,3816,185
noc26_ce143,303,10
noc26_ce144,892,33
noc26_ce145,734,34
noc26_ce146,1136,59
noc26_ce147,1084,66
noc26_ce148,1298,59
noc26_ce149,1493,74
noc26_ce150,214,4
noc26_ce151,170,0
noc26_ce152,144,6
noc26_ce153,9335,280
noc26_ce154,158,4
noc26_ce155,357,8
noc26_ce156,331,16
noc26_ce157,1185,147
noc26_ce158,485,11
noc26_ce159,1538,62
noc26_ce160,971,117
noc26_ce161,1176,75
noc26_ce162,4264,289
noc26_ce163,674,43
noc26_ce165,188,2
noc26_ce166,1029,29
noc26_ce82,340,10
noc26_ce83,148,2
noc26_ce84,74,1
noc26_ce85,687,15
noc26_ce86,Removed / Unavailable,Removed / Unavailable
noc26_ce87,810,20
noc26_ce88,127,3
noc26_ce89,102,0
noc26_ce90,162,1
noc26_ce91,113,4
noc26_ce92,Removed / Unavailable,Removed / Unavailable
noc26_ce93,583,19
noc26_ce94,1516,222
noc26_ce95,347,17
noc26_ce96,1698,73
noc26_ce97,2434,146
noc26_ce98,626,16
noc26_ce99,3203,198
noc26_ch100,119,0
noc26_ch101,144,2
noc26_ch102,147,5
noc26_ch103,2951,126
noc26_ch104,819,17
noc26_ch105,632,29
noc26_ch106,231,8
noc26_ch107,64,1
noc26_ch108,84,3
noc26_ch109,1219,14
noc26_ch110,257,2
noc26_ch111,388,14
noc26_ch52,810,74
noc26_ch53,325,11
noc26_ch54,94,1
noc26_ch55,2023,77
noc26_ch56,255,1
noc26_ch57,172,6
noc26_ch58,186,6
noc26_ch59,242,7
noc26_ch60,2237,526
noc26_ch61,65,3
noc26_ch62,568,12
noc26_ch63,181,7
noc26_ch64,689,53
noc26_ch65,250,11
noc26_ch66,638,16
noc26_ch67,94,0
noc26_ch68,285,10
noc26_ch69,1271,56
noc26_ch70,247,3
noc26_ch71,152,7
noc26_ch72,1879,80
noc26_ch73,2980,183
noc26_ch74,3596,195
noc26_ch75,1988,157
noc26_ch76,1550,82
noc26_ch77,639,77
noc26_ch78,7617,387
noc26_ch79,4574,361
noc26_ch80,513,11
noc26_ch81,1759,104
noc26_ch82,161,4
noc26_ch83,141,5
noc26_ch84,255,9
noc26_ch85,364,10
noc26_ch86,198,4
noc26_ch87,259,14
noc26_ch88,575,31
noc26_ch89,1642,27
noc26_ch90,474,20
noc26_ch91,127,1
noc26_ch92,522,1
noc26_ch93,269,4
noc26_ch94,244,4
noc26_ch95,258,2
noc26_ch96,250,9
